stock,by,S,R
Harrison-Chinook,1984,211645,119511
Harrison-Chinook,1985,82480,173992
Harrison-Chinook,1986,620514,162077
Harrison-Chinook,1987,245022,78760
Harrison-Chinook,1988,398430,34800
Harrison-Chinook,1989,311483,74145
Harrison-Chinook,1990,479719,176780
Harrison-Chinook,1991,75985,90254
Harrison-Chinook,1992,59537,129841
Harrison-Chinook,1993,68779,118390
Harrison-Chinook,1994,326082,98044
Harrison-Chinook,1995,80104,28490
Harrison-Chinook,1996,210970,39712
Harrison-Chinook,1997,147508,71304
Harrison-Chinook,1998,277290,202362
Harrison-Chinook,1999,497697,105219
Harrison-Chinook,2000,276425,84607
Harrison-Chinook,2001,154652,114067
Harrison-Chinook,2002,86189,90448
Harrison-Chinook,2003,196445,247401
Harrison-Chinook,2004,58069,141958
Harrison-Chinook,2005,133144,88801
Harrison-Chinook,2006,63883,60786
Harrison-Chinook,2007,241104,81122
Harrison-Chinook,2008,70693,43156
Harrison-Chinook,2009,72491,76459
Harrison-Chinook,2010,70075,106317
Harrison-Chinook,2011,141107,125251
Harrison-Chinook,2012,45729,47664
Harrison-Chinook,2013,44591,47935
Harrison-Chinook,2014,85305,47075
Harrison-Chinook,2015,72173,102334
Harrison-Chinook,2016,67202,46158
